gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group E,some high school,free/reduced,none,85,85,77
female,group E,some college,standard,completed,81,82,84
male,group C,master's degree,free/reduced,none,84,84,76
female,group B,some high school,free/reduced,completed,55,64,71
male,group D,some college,standard,completed,64,67,68
female,group C,some college,free/reduced,none,45,60,61
male,group D,some high school,standard,none,97,86,81
male,group C,associate's degree,free/reduced,completed,74,74,74
female,group C,high school,standard,none,61,73,71
male,group E,high school,free/reduced,none,68,68,58
male,group D,high school,standard,none,56,59,51
male,group B,associate's degree,standard,none,69,73,70
male,group E,some college,standard,none,83,71,68
male,group C,associate's degree,free/reduced,none,75,72,67
female,group C,some college,standard,none,44,57,56
male,group B,some high school,free/reduced,none,43,40,37
male,group B,high school,free/reduced,none,64,63,57
female,group E,some college,standard,completed,76,81,77
female,group E,high school,standard,none,83,88,90
female,group C,some college,standard,none,83,84,79
male,group D,some high school,standard,completed,69,70,68
male,group C,some high school,standard,none,69,69,62
female,group D,bachelor's degree,free/reduced,none,82,93,92
female,group B,associate's degree,standard,none,74,90,82
female,group E,bachelor's degree,standard,none,68,67,72
male,group B,some high school,free/reduced,none,68,69,64
male,group C,master's degree,standard,completed,62,50,54
female,group E,associate's degree,standard,none,72,75,76
female,group E,some college,standard,none,59,60,57
female,group C,master's degree,standard,completed,75,75,78
male,group D,bachelor's degree,standard,completed,75,63,68
male,group B,bachelor's degree,standard,none,65,61,59
female,group E,some high school,standard,none,78,78,71
female,group A,some college,free/reduced,none,72,83,84
male,group C,some college,standard,none,82,76,75
female,group E,bachelor's degree,free/reduced,none,83,82,82
male,group C,some high school,standard,completed,51,39,38
female,group D,high school,free/reduced,none,54,61,62
female,group C,high school,standard,completed,66,84,81
female,group C,associate's degree,free/reduced,none,60,75,71
male,group B,some college,standard,none,61,61,52
female,group D,bachelor's degree,standard,none,91,94,96
male,group C,bachelor's degree,free/reduced,completed,78,79,82
male,group E,associate's degree,standard,completed,72,71,73
female,group E,master's degree,standard,none,70,71,73
male,group E,high school,standard,none,57,50,50
male,group A,some college,free/reduced,none,57,52,43
female,group D,master's degree,free/reduced,completed,83,90,86
female,group D,associate's degree,standard,completed,84,90,94
female,group A,high school,free/reduced,none,48,67,62
female,group E,bachelor's degree,free/reduced,none,88,100,93
male,group D,associate's degree,standard,none,85,82,86
female,group D,associate's degree,free/reduced,none,52,59,56
female,group C,some college,standard,completed,44,57,59
female,group C,associate's degree,standard,none,62,58,64
female,group C,bachelor's degree,free/reduced,none,54,69,63
male,group E,some college,standard,completed,81,79,71
male,group E,some high school,free/reduced,completed,91,82,83
female,group C,associate's degree,free/reduced,none,50,67,67
female,group C,high school,free/reduced,none,55,55,61
female,group D,associate's degree,standard,none,76,83,87
male,group B,high school,standard,none,67,66,54
female,group B,master's degree,standard,none,93,85,91
male,group C,some college,free/reduced,completed,43,51,54
female,group D,some high school,standard,none,41,43,46
male,group D,some college,free/reduced,none,88,78,75
female,group B,master's degree,standard,none,90,91,89
male,group C,some high school,free/reduced,none,58,63,48
male,group B,bachelor's degree,standard,none,89,80,75
female,group B,associate's degree,standard,none,68,76,69
male,group B,some college,standard,none,65,65,62
female,group E,some college,standard,completed,95,100,100
male,group B,some high school,standard,none,80,69,66
male,group C,some high school,standard,none,84,77,79
male,group C,associate's degree,free/reduced,none,66,63,60
male,group B,bachelor's degree,free/reduced,none,83,77,74
female,group C,associate's degree,free/reduced,none,75,88,85
male,group D,associate's degree,standard,none,44,52,45
female,group C,some college,standard,completed,72,70,74
male,group C,some college,free/reduced,completed,55,56,54
male,group D,associate's degree,standard,completed,94,84,86
male,group B,some college,standard,completed,65,62,64
female,group C,high school,free/reduced,none,60,84,73
female,group D,some college,standard,completed,81,85,84
female,group A,high school,free/reduced,completed,66,75,76
male,group B,some high school,standard,completed,71,67,69
male,group B,some high school,free/reduced,none,66,67,60
male,group D,associate's degree,standard,completed,83,89,93
male,group E,associate's degree,standard,none,100,93,76
male,group A,associate's degree,standard,completed,69,66,67
male,group C,bachelor's degree,free/reduced,none,44,40,36
male,group D,some college,standard,completed,62,59,58
male,group D,bachelor's degree,free/reduced,none,72,69,75
female,group B,some college,standard,none,69,74,67
male,group B,high school,standard,completed,62,58,62
male,group B,associate's degree,standard,completed,59,65,59
female,group D,some college,standard,none,61,64,62
female,group D,bachelor's degree,standard,completed,90,100,100
female,group C,associate's degree,standard,completed,55,55,58
female,group D,some high school,standard,none,71,83,85
male,group A,high school,standard,none,86,91,79
male,group E,associate's degree,standard,completed,89,83,76
male,group D,some college,free/reduced,none,72,68,67
female,group C,bachelor's degree,standard,completed,63,82,82
male,group C,master's degree,standard,none,58,53,49
male,group B,some college,free/reduced,completed,36,37,33
female,group A,some college,standard,none,68,66,67
male,group C,some high school,free/reduced,none,56,49,43
male,group E,some high school,free/reduced,completed,79,83,76
female,group D,associate's degree,standard,completed,77,89,94
male,group D,associate's degree,free/reduced,none,63,54,50
female,group C,some college,standard,completed,70,79,85
female,group C,bachelor's degree,free/reduced,completed,30,38,38
female,group C,associate's degree,free/reduced,none,58,74,74
male,group A,high school,standard,completed,77,79,80
female,group C,some high school,standard,completed,57,68,65
female,group B,some high school,standard,completed,68,81,78
male,group A,some high school,free/reduced,completed,59,64,57
female,group C,high school,standard,none,52,69,67
male,group D,some high school,standard,none,61,67,64
female,group B,bachelor's degree,standard,completed,71,84,91
female,group B,high school,standard,none,51,55,57
female,group B,high school,standard,none,57,72,66
female,group D,some high school,free/reduced,none,46,66,62
female,group C,associate's degree,standard,none,76,77,87
female,group B,some high school,standard,none,54,56,61
male,group C,associate's degree,standard,none,63,63,57
male,group D,some college,free/reduced,none,55,59,55
male,group C,some high school,standard,completed,64,68,70
female,group B,master's degree,standard,none,70,75,72
male,group C,bachelor's degree,standard,none,74,66,70
female,group C,high school,standard,none,61,67,67
female,group D,some college,standard,none,58,61,65
female,group D,master's degree,standard,none,64,79,80
female,group D,associate's degree,standard,none,76,79,80
male,group A,master's degree,standard,none,68,67,65
female,group E,master's degree,free/reduced,none,53,57,58
male,group B,associate's degree,standard,none,80,76,71
male,group E,associate's degree,standard,none,84,75,70
male,group C,associate's degree,standard,none,60,57,57
male,group C,bachelor's degree,standard,none,83,75,78
male,group B,high school,standard,none,80,77,81
female,group D,associate's degree,free/reduced,none,66,73,75
male,group B,associate's degree,free/reduced,completed,76,90,90
male,group E,bachelor's degree,free/reduced,none,72,67,63
male,group B,some college,standard,none,77,72,75
male,group D,some high school,standard,completed,70,67,71
male,group E,some college,free/reduced,completed,72,64,63
female,group A,some college,free/reduced,completed,52,65,63
female,group A,master's degree,free/reduced,none,47,61,58
female,group C,master's degree,free/reduced,none,60,76,72
male,group C,some college,free/reduced,completed,65,74,68
male,group B,some high school,free/reduced,completed,52,60,57
male,group A,some college,free/reduced,none,63,68,53
female,group C,high school,standard,completed,52,73,75
male,group E,some college,standard,none,68,68,67
female,group B,associate's degree,standard,none,71,81,80
male,group C,some college,free/reduced,none,47,49,42
male,group B,associate's degree,standard,none,40,42,37
male,group B,some college,standard,none,51,56,47
female,group B,some high school,standard,none,56,67,59
male,group E,high school,standard,none,87,64,64
female,group D,bachelor's degree,free/reduced,completed,65,79,88
female,group D,some college,standard,none,78,84,83
female,group A,associate's degree,standard,completed,67,80,78
male,group B,associate's degree,free/reduced,none,55,68,59
female,group D,master's degree,free/reduced,none,20,40,39
male,group E,some high school,standard,completed,99,96,91
male,group B,associate's degree,free/reduced,none,81,78,71
male,group C,some college,standard,none,81,53,64
male,group A,associate's degree,standard,none,62,61,54
male,group D,bachelor's degree,free/reduced,none,71,70,60
female,group A,associate's degree,standard,none,61,76,73
female,group E,associate's degree,free/reduced,none,61,76,79
female,group A,bachelor's degree,free/reduced,none,73,80,77
female,group C,some high school,free/reduced,completed,61,63,62
female,group D,master's degree,free/reduced,none,44,56,62
female,group A,some high school,free/reduced,none,34,54,48
female,group B,high school,free/reduced,none,38,45,39
female,group E,high school,standard,completed,67,74,68
male,group D,some college,standard,none,83,74,70
female,group B,some high school,standard,none,44,48,47
female,group C,bachelor's degree,standard,none,59,70,63
female,group C,some college,standard,none,69,71,71
male,group C,some college,standard,none,53,62,60
male,group C,master's degree,standard,completed,76,82,77
female,group A,bachelor's degree,free/reduced,completed,71,88,89
male,group C,master's degree,standard,completed,69,71,64
female,group E,bachelor's degree,standard,none,30,30,36
male,group A,high school,standard,completed,69,82,78
female,group D,bachelor's degree,standard,completed,67,84,90
male,group C,some college,standard,completed,96,91,86
female,group C,master's degree,standard,none,65,84,80
male,group D,some high school,standard,completed,77,77,79
male,group D,high school,standard,none,62,59,59
female,group E,bachelor's degree,standard,completed,71,67,72
male,group C,master's degree,standard,completed,100,98,92
female,group B,high school,standard,none,61,71,62
male,group B,bachelor's degree,free/reduced,completed,71,83,82
male,group D,some college,standard,none,67,43,52
female,group D,high school,standard,none,72,67,66
female,group D,high school,standard,completed,86,85,90
female,group D,some college,free/reduced,completed,76,90,99
male,group C,associate's degree,free/reduced,completed,51,59,57
female,group C,associate's degree,standard,none,53,69,69
male,group C,some college,free/reduced,none,55,49,50
male,group C,high school,standard,none,58,50,41
female,group A,associate's degree,standard,completed,81,90,88
male,group B,master's degree,standard,none,68,65,63
female,group B,some college,standard,none,63,72,72
female,group C,some high school,free/reduced,completed,68,91,84
female,group D,high school,standard,none,80,88,84
male,group E,associate's degree,free/reduced,none,72,63,64
female,group C,high school,standard,none,43,53,55
female,group C,some college,free/reduced,none,45,60,58
male,group E,associate's degree,free/reduced,completed,82,72,81
male,group B,some college,free/reduced,none,72,64,65
male,group B,high school,standard,none,62,54,49
male,group D,some college,free/reduced,completed,63,63,59
male,group D,some college,free/reduced,none,48,41,40
female,group E,bachelor's degree,standard,none,81,99,90
male,group C,bachelor's degree,standard,none,72,79,83
female,group D,bachelor's degree,free/reduced,none,55,69,70
male,group D,some college,standard,none,78,68,65
female,group C,master's degree,free/reduced,none,63,75,69
female,group C,high school,standard,completed,72,88,89
male,group D,some high school,standard,none,47,47,43
male,group A,high school,free/reduced,none,60,58,50
male,group B,some college,standard,completed,66,63,67
male,group E,high school,standard,completed,80,73,74
female,group B,some college,standard,completed,73,85,87
female,group C,associate's degree,standard,none,72,85,80
female,group D,associate's degree,free/reduced,completed,83,86,97
female,group D,some high school,standard,none,86,84,87
male,group B,some college,standard,none,84,75,76
male,group D,some college,free/reduced,none,68,80,77
female,group A,some college,free/reduced,none,56,71,61
female,group C,high school,standard,none,66,76,67
female,group D,bachelor's degree,standard,none,68,75,70
female,group A,some high school,standard,none,51,54,52
male,group D,some high school,free/reduced,none,77,74,78
female,group C,associate's degree,standard,completed,63,82,85
female,group C,associate's degree,free/reduced,none,47,64,62
female,group E,associate's degree,free/reduced,completed,90,99,95
male,group D,associate's degree,free/reduced,completed,57,75,75
male,group C,bachelor's degree,standard,none,73,69,68
female,group D,associate's degree,free/reduced,completed,69,71,82
male,group C,high school,standard,completed,69,77,76
male,group C,high school,standard,none,56,57,54
male,group B,master's degree,standard,none,86,83,76
female,group C,associate's degree,free/reduced,completed,53,71,72
female,group C,high school,standard,completed,63,78,77
male,group D,some high school,standard,completed,83,83,84
male,group E,some college,free/reduced,none,73,72,72
male,group D,associate's degree,standard,completed,75,71,76
male,group C,some college,standard,none,66,68,66
female,group B,some college,standard,none,58,71,73
male,group E,associate's degree,standard,none,60,67,62
female,group B,high school,standard,completed,62,80,79
male,group C,some college,free/reduced,none,63,61,57
female,group D,high school,standard,completed,58,72,80
male,group D,some college,standard,completed,73,76,79
male,group C,some college,free/reduced,none,57,60,58
female,group B,master's degree,free/reduced,none,64,74,75
female,group A,high school,standard,none,37,42,45
male,group C,associate's degree,standard,none,66,54,56
female,group D,associate's degree,standard,none,53,64,66
male,group A,associate's degree,standard,none,77,74,72
female,group C,some college,standard,completed,78,78,81
male,group A,bachelor's degree,standard,completed,83,82,85
female,group C,master's degree,standard,none,94,91,99
male,group B,some high school,standard,none,74,74,73
female,group A,associate's degree,standard,none,80,89,85
female,group C,associate's degree,standard,none,65,68,62
female,group B,some college,free/reduced,none,34,48,43
female,group D,bachelor's degree,free/reduced,none,66,73,70
male,group D,some college,standard,none,95,82,83
male,group E,some high school,standard,none,73,69,65
female,group C,high school,free/reduced,none,59,72,62
male,group D,associate's degree,standard,none,81,75,75
female,group D,high school,free/reduced,none,45,62,59
female,group C,high school,free/reduced,completed,73,91,92
female,group B,associate's degree,standard,completed,67,79,84
male,group D,some high school,standard,none,54,58,51
female,group C,master's degree,free/reduced,none,78,87,89
female,group C,some high school,standard,none,68,75,70
female,group B,high school,free/reduced,none,42,57,55
male,group C,some college,free/reduced,completed,69,75,69
male,group C,some college,free/reduced,none,63,55,52
female,group C,associate's degree,free/reduced,none,53,68,62
male,group B,associate's degree,standard,none,88,83,77
female,group C,some college,standard,completed,44,58,60
male,group C,some college,free/reduced,none,38,32,26
male,group C,master's degree,standard,none,66,60,59
female,group C,some college,free/reduced,completed,51,64,61
female,group C,some college,standard,completed,82,85,89
female,group E,high school,standard,none,52,66,61
female,group B,bachelor's degree,standard,none,71,76,74
female,group C,associate's degree,standard,none,59,60,60
female,group D,some high school,free/reduced,none,35,51,54
female,group C,some college,free/reduced,completed,77,83,86
male,group A,high school,free/reduced,completed,78,85,82
female,group D,associate's degree,free/reduced,completed,66,77,71
male,group D,some college,free/reduced,none,55,44,45
female,group A,some high school,standard,completed,72,71,75
female,group A,master's degree,free/reduced,completed,48,66,69
male,group A,associate's degree,standard,completed,70,70,70
female,group A,associate's degree,standard,none,46,53,50
female,group C,associate's degree,standard,none,61,74,72
female,group C,some high school,standard,none,64,72,73
female,group B,some college,standard,none,79,92,96
male,group B,some high school,standard,completed,77,84,78
male,group A,associate's degree,standard,none,74,75,70
female,group C,bachelor's degree,free/reduced,none,57,72,68
female,group A,bachelor's degree,standard,completed,38,50,49
male,group B,some college,standard,none,83,76,68
female,group C,associate's degree,standard,completed,67,78,80
female,group A,high school,free/reduced,none,36,48,46
female,group D,bachelor's degree,standard,completed,86,86,94
female,group C,associate's degree,standard,completed,79,78,81
male,group C,master's degree,standard,none,78,73,70
male,group A,high school,standard,none,55,53,55
male,group C,some college,standard,none,57,56,57
male,group C,bachelor's degree,standard,none,64,59,60
male,group C,bachelor's degree,standard,none,66,65,63
female,group B,associate's degree,standard,none,81,77,82
female,group E,associate's degree,standard,completed,75,76,83
female,group C,associate's degree,free/reduced,completed,59,74,75
female,group C,associate's degree,free/reduced,none,65,75,71
female,group B,master's degree,standard,completed,68,71,75
female,group D,high school,standard,none,60,75,70
male,group D,some high school,standard,completed,80,80,74
male,group A,associate's degree,standard,completed,74,74,72
male,group D,master's degree,standard,none,75,61,60
male,group A,some college,standard,none,68,66,59
female,group B,some high school,standard,none,41,56,55
male,group A,high school,free/reduced,none,49,57,47
female,group B,high school,free/reduced,none,52,79,73
female,group B,some high school,free/reduced,none,40,55,53
male,group D,bachelor's degree,free/reduced,completed,87,88,91
male,group B,high school,free/reduced,none,65,69,61
female,group C,bachelor's degree,free/reduced,none,31,60,52
male,group D,some college,standard,completed,87,77,84
male,group D,associate's degree,free/reduced,none,77,80,71
male,group E,bachelor's degree,free/reduced,none,89,84,79
male,group E,some college,free/reduced,completed,73,79,75
female,group C,some high school,standard,completed,66,71,79
male,group C,master's degree,standard,completed,92,77,80
female,group B,high school,free/reduced,none,34,44,44
male,group C,high school,standard,completed,77,76,72
male,group D,some high school,standard,none,59,45,52
female,group D,high school,standard,none,47,67,60
male,group D,high school,free/reduced,none,78,75,76
male,group D,some college,free/reduced,none,80,78,78
female,group D,high school,free/reduced,none,54,65,68
female,group E,some college,standard,none,95,98,92
female,group B,high school,standard,none,47,55,50
male,group D,bachelor's degree,free/reduced,completed,59,56,57
male,group A,associate's degree,free/reduced,none,52,57,51
female,group D,some college,free/reduced,none,83,81,81
male,group C,some college,standard,none,32,42,34
female,group E,high school,free/reduced,completed,61,61,72
female,group D,some college,free/reduced,none,44,67,58
female,group C,some college,free/reduced,completed,63,75,72
male,group C,bachelor's degree,standard,none,62,54,56
male,group D,high school,standard,none,60,50,50
male,group C,associate's degree,standard,none,92,87,85
male,group D,master's degree,standard,none,53,51,48
female,group C,bachelor's degree,standard,none,48,58,53
male,group B,associate's degree,standard,none,73,78,70
male,group D,some high school,standard,completed,71,55,54
female,group C,associate's degree,standard,completed,51,51,56
female,group D,some college,standard,completed,60,70,77
female,group D,master's degree,standard,none,48,60,65
female,group D,some college,standard,none,68,71,76
male,group E,bachelor's degree,standard,none,97,88,83
male,group C,some college,free/reduced,none,55,56,50
female,group C,some high school,free/reduced,none,66,73,69
male,group B,some college,standard,completed,83,80,82
female,group C,bachelor's degree,standard,none,66,80,81
male,group C,master's degree,free/reduced,none,60,61,52
female,group C,high school,standard,completed,68,76,75
male,group D,some college,standard,none,63,55,56
female,group E,master's degree,standard,none,76,82,82
female,group E,master's degree,standard,completed,81,78,81
male,group D,some college,free/reduced,completed,65,74,74
female,group D,high school,standard,completed,84,83,92
male,group E,some high school,standard,none,77,62,60
female,group C,some college,standard,none,72,83,72
male,group D,some high school,standard,none,70,66,66
female,group D,bachelor's degree,standard,none,69,85,84
male,group C,some high school,free/reduced,completed,47,48,39
male,group D,some college,standard,none,84,78,79
male,group C,high school,standard,completed,50,61,57
female,group C,some college,free/reduced,none,70,70,70
female,group D,high school,free/reduced,none,38,42,48
male,group C,high school,free/reduced,none,68,78,74
female,group B,some high school,standard,completed,51,63,65
female,group D,high school,standard,none,79,95,97
female,group B,some college,standard,none,61,68,71
male,group D,associate's degree,free/reduced,none,61,64,55
male,group C,some high school,free/reduced,none,69,66,56
female,group E,some high school,free/reduced,none,85,78,86
male,group D,some college,standard,completed,71,68,69
male,group D,high school,standard,completed,66,62,60
male,group D,high school,free/reduced,completed,77,70,71
female,group D,some high school,standard,completed,71,87,91
male,group C,associate's degree,standard,completed,80,82,78
female,group C,high school,standard,completed,67,83,80
female,group C,associate's degree,free/reduced,none,60,73,73
male,group C,some high school,standard,none,54,48,51
male,group C,master's degree,standard,none,85,63,67
female,group B,master's degree,standard,none,65,76,69
male,group D,some college,free/reduced,completed,61,62,61
male,group C,associate's degree,standard,none,56,61,55
male,group B,some college,standard,none,74,74,67
male,group B,some high school,free/reduced,none,22,31,28
male,group A,master's degree,standard,none,95,92,91
male,group B,some college,free/reduced,none,50,47,45
female,group B,some high school,free/reduced,completed,64,75,73
male,group B,associate's degree,free/reduced,completed,58,71,69
female,group D,associate's degree,standard,completed,97,97,100
male,group B,bachelor's degree,standard,none,77,73,73
female,group D,high school,standard,none,61,79,76
male,group C,associate's degree,standard,none,54,52,46
female,group A,some college,standard,completed,69,72,76
male,group E,master's degree,free/reduced,completed,75,70,67
female,group D,some high school,standard,none,85,96,93
female,group E,bachelor's degree,free/reduced,none,90,100,95
female,group C,bachelor's degree,standard,completed,93,100,100
female,group D,high school,standard,none,73,86,77
female,group B,some high school,standard,completed,41,59,52
male,group E,some college,free/reduced,completed,66,68,69
male,group B,high school,standard,none,76,79,73
female,group B,some high school,standard,completed,41,48,50
female,group C,high school,standard,none,58,77,76
female,group E,bachelor's degree,free/reduced,none,63,82,75
female,group D,high school,standard,completed,63,75,72
female,group C,some high school,standard,none,50,66,60
male,group D,associate's degree,standard,none,84,82,73
male,group B,high school,standard,completed,74,74,70
male,group D,some high school,standard,completed,85,68,75
female,group C,some college,standard,completed,68,61,68
male,group B,some high school,standard,none,77,53,57
male,group D,high school,free/reduced,completed,40,46,47
female,group A,associate's degree,free/reduced,completed,48,65,61
male,group D,bachelor's degree,standard,completed,93,85,93
male,group C,high school,standard,none,66,56,51
male,group B,some college,free/reduced,none,79,76,70
male,group C,bachelor's degree,standard,none,77,74,75
female,group E,some college,standard,completed,72,74,74
female,group E,some college,free/reduced,none,70,94,80
male,group B,some high school,standard,none,67,60,53
female,group B,high school,free/reduced,none,46,66,54
female,group D,associate's degree,free/reduced,completed,81,88,94
female,group A,some high school,standard,none,58,68,66
female,group C,some college,standard,none,52,65,62
male,group A,some high school,free/reduced,completed,44,44,39
female,group C,some college,free/reduced,none,75,82,80
male,group C,bachelor's degree,standard,none,74,65,70
female,group C,some college,standard,none,51,68,69
female,group D,some college,standard,completed,83,93,95
female,group D,some college,standard,none,82,96,91
female,group C,bachelor's degree,standard,none,52,53,56
female,group C,some college,standard,none,75,83,73
female,group D,some college,standard,none,82,92,88
female,group A,high school,free/reduced,none,60,80,79
male,group C,some high school,standard,completed,78,72,71
male,group C,some high school,standard,none,59,62,53
male,group C,high school,free/reduced,completed,61,62,58
male,group B,some high school,standard,none,73,59,66
female,group E,associate's degree,standard,none,89,97,99
male,group E,some college,free/reduced,none,66,67,61
male,group B,some high school,standard,none,76,69,67
male,group D,bachelor's degree,standard,completed,84,77,79
male,group B,associate's degree,standard,none,58,57,56
female,group D,associate's degree,standard,completed,64,79,85
male,group D,some college,standard,none,97,89,89
female,group D,some high school,standard,none,86,91,91
male,group D,some high school,free/reduced,none,47,33,43
female,group C,some high school,standard,none,55,67,61
male,group B,high school,free/reduced,none,39,42,34
female,group D,bachelor's degree,free/reduced,none,52,73,75
male,group D,some high school,standard,none,74,67,66
male,group B,high school,free/reduced,completed,56,57,56
female,group B,some college,free/reduced,none,36,53,47
female,group A,associate's degree,free/reduced,completed,52,65,62
male,group E,bachelor's degree,standard,none,57,47,42
male,group D,bachelor's degree,standard,none,59,57,58
female,group B,high school,standard,none,39,54,54
female,group C,some high school,free/reduced,none,22,37,35
female,group D,bachelor's degree,standard,none,82,86,93
female,group B,some high school,standard,none,42,54,51
female,group B,some college,standard,completed,84,91,92
female,group D,associate's degree,free/reduced,none,56,76,75
female,group C,master's degree,standard,none,66,77,76
male,group D,associate's degree,free/reduced,none,51,53,50
male,group C,high school,standard,none,75,66,58
male,group C,associate's degree,standard,none,71,65,61
female,group B,associate's degree,free/reduced,none,46,49,49
male,group D,high school,free/reduced,none,66,63,53
female,group C,bachelor's degree,standard,none,69,77,71
female,group C,high school,standard,completed,78,89,93
female,group C,some college,free/reduced,none,67,69,69
female,group E,associate's degree,standard,completed,74,76,79
male,group C,bachelor's degree,standard,completed,66,75,75
female,group E,some college,free/reduced,none,59,68,67
male,group C,some college,standard,none,60,51,41
male,group C,associate's degree,free/reduced,completed,60,65,58
female,group C,some college,standard,none,72,76,72
male,group B,master's degree,standard,completed,80,71,76
male,group B,associate's degree,standard,none,85,87,80
male,group B,some college,standard,none,58,58,57
male,group A,master's degree,free/reduced,completed,72,76,68
female,group D,master's degree,standard,completed,62,70,79
male,group B,associate's degree,standard,none,52,49,49
male,group C,associate's degree,free/reduced,none,77,87,74
female,group D,associate's degree,standard,none,57,57,60
female,group C,bachelor's degree,standard,completed,53,58,68
male,group B,high school,free/reduced,none,27,32,26
male,group B,associate's degree,standard,none,75,62,59
female,group E,associate's degree,standard,completed,79,78,79
male,group C,some college,free/reduced,none,63,54,48
female,group B,high school,standard,none,76,82,79
female,group D,high school,standard,none,76,77,84
male,group D,master's degree,standard,none,90,81,84
male,group D,bachelor's degree,free/reduced,none,63,64,61
female,group C,bachelor's degree,standard,none,64,70,67
female,group D,high school,free/reduced,completed,27,37,41
female,group A,bachelor's degree,standard,completed,75,86,86
female,group E,some college,standard,none,48,58,56
male,group B,associate's degree,free/reduced,completed,56,62,63
female,group D,high school,standard,none,76,85,82
female,group B,master's degree,standard,completed,70,73,79
male,group D,bachelor's degree,free/reduced,none,84,86,83
male,group E,associate's degree,standard,none,71,68,62
female,group C,some college,standard,none,79,72,76
female,group D,some high school,standard,none,42,48,49
female,group B,some college,standard,none,39,49,48
female,group B,some college,standard,none,62,77,72
male,group D,master's degree,free/reduced,none,59,54,57
male,group D,some high school,free/reduced,completed,69,66,64
male,group C,associate's degree,free/reduced,none,77,73,75
female,group D,associate's degree,standard,completed,69,79,83
female,group B,some college,free/reduced,none,73,90,80
female,group C,high school,standard,completed,62,66,71
female,group B,high school,free/reduced,none,50,57,53
male,group C,associate's degree,free/reduced,none,65,63,58
female,group D,some college,free/reduced,none,61,66,81
female,group D,some high school,free/reduced,none,47,56,58
male,group B,some college,free/reduced,completed,68,79,74
female,group E,high school,free/reduced,none,60,72,74
male,group B,some high school,standard,completed,74,75,72
male,group B,associate's degree,standard,none,83,83,78
female,group B,high school,standard,none,32,35,37
female,group C,some high school,standard,none,43,55,54
female,group D,high school,standard,none,46,61,54
male,group C,some high school,standard,none,72,69,64
male,group A,some college,standard,completed,79,67,70
female,group A,bachelor's degree,standard,completed,71,78,82
male,group B,associate's degree,standard,none,79,81,75
male,group B,bachelor's degree,standard,none,68,61,56
male,group C,master's degree,standard,none,74,74,72
female,group D,some college,free/reduced,none,60,79,79
male,group D,some college,standard,completed,87,81,86
male,group A,some college,standard,completed,66,65,61
female,group C,associate's degree,free/reduced,completed,56,77,74
male,group D,some college,standard,none,66,64,60
female,group E,some high school,free/reduced,completed,50,75,73
female,group C,master's degree,standard,none,82,83,87
male,group C,bachelor's degree,free/reduced,none,48,49,43
female,group E,high school,standard,none,85,83,83
female,group D,bachelor's degree,free/reduced,none,19,39,42
male,group D,master's degree,free/reduced,completed,64,65,68
male,group C,high school,standard,none,81,67,64
female,group C,some college,standard,completed,75,82,87
female,group A,associate's degree,standard,none,65,85,82
female,group A,bachelor's degree,standard,completed,66,78,80
female,group A,bachelor's degree,standard,completed,78,100,96
male,group C,high school,standard,none,55,53,53
male,group D,some college,standard,none,76,71,67
male,group E,high school,standard,none,82,83,75
male,group E,master's degree,standard,completed,75,72,72
female,group A,some college,free/reduced,completed,60,72,77
female,group B,some college,standard,none,73,78,83
female,group C,some college,standard,none,58,62,65
female,group A,associate's degree,free/reduced,none,40,52,47
female,group A,some high school,standard,none,35,39,38
male,group C,some college,standard,none,75,73,75
male,group C,some college,free/reduced,none,62,60,48
male,group E,some college,standard,completed,70,72,73
female,group C,associate's degree,standard,none,92,92,92
male,group D,high school,free/reduced,completed,59,62,63
female,group B,associate's degree,standard,none,70,83,86
female,group C,some high school,free/reduced,none,32,35,32
male,group C,associate's degree,standard,none,86,82,82
female,group C,some high school,free/reduced,none,44,57,53
female,group C,high school,standard,completed,75,66,75
male,group C,some high school,standard,completed,59,60,59
female,group C,some high school,free/reduced,completed,54,58,56
female,group E,some high school,standard,none,83,89,86
male,group C,bachelor's degree,standard,completed,66,59,67
male,group E,some college,standard,none,100,98,82
female,group C,associate's degree,standard,completed,75,88,93
female,group C,master's degree,standard,completed,94,96,99
male,group A,high school,standard,none,60,49,44
female,group C,high school,free/reduced,none,44,62,56
male,group A,some high school,free/reduced,none,37,44,41
female,group B,some college,free/reduced,none,51,65,62
female,group C,high school,free/reduced,completed,54,72,71
male,group B,some high school,free/reduced,none,63,55,51
male,group A,some high school,standard,none,74,64,58
female,group D,some college,free/reduced,none,59,80,72
male,group D,high school,standard,completed,98,99,99
male,group D,high school,free/reduced,completed,60,65,59
female,group C,some high school,standard,none,78,85,88
female,group C,some college,standard,none,57,63,66
male,group C,associate's degree,free/reduced,none,45,40,43
male,group D,associate's degree,free/reduced,none,69,55,50
male,group D,some high school,standard,none,78,65,60
male,group B,high school,free/reduced,completed,71,66,66
female,group C,associate's degree,standard,none,58,70,71
female,group B,master's degree,free/reduced,none,44,59,53
female,group A,high school,free/reduced,completed,78,80,84
male,group E,bachelor's degree,free/reduced,none,51,47,44
male,group A,high school,standard,none,67,56,55
female,group B,some high school,standard,completed,74,80,82
male,group D,bachelor's degree,standard,none,78,72,76
female,group B,associate's degree,standard,completed,58,76,74
male,group D,some college,standard,completed,77,84,91
male,group C,some college,free/reduced,completed,60,65,63
female,group B,high school,standard,none,65,65,64
male,group D,bachelor's degree,free/reduced,none,52,52,51
